model,accuracy,precision,recall,f1,Specificity,Sensitivity,ROC,Time_taken
Logistic Regression,0.8,0.8010582010582011,0.8,0.8,1.0,1.0,0.9351220344768733,0.1987830000000006
Linear Discriminant,0.7777777777777778,0.7786492374727669,0.7777777777777778,0.7761752136752136,1.0,1.0,0.9275780849974398,0.02258400000000016
KNN,0.8666666666666667,0.8811695906432749,0.8666666666666667,0.8633986928104574,1.0,1.0,0.9213244580986517,0.01081299999999974
DecisionTree,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8847481021394065,1.0,1.0,0.9705785970302099,0.018940000000000623
GaussianNB,0.8,0.804040404040404,0.8,0.7970909090909091,1.0,1.0,0.9381396142686466,0.003125999999999962
SVM,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.8595959595959596,1.0,1.0,0.9381396142686466,0.006595000000000795
RandomForest,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8847481021394065,1.0,1.0,0.9238061102577232,0.015455999999998582
AdaBooster,0.6888888888888889,0.8444444444444444,0.6888888888888889,0.6046296296296296,1.0,1.0,0.9215429254138932,0.15676799999999957
BaggingClassifier,0.8444444444444444,0.865432098765432,0.8444444444444444,0.8386473429951691,1.0,1.0,0.9197064345451441,0.021746000000000265
QuadraticDiscriminantAnalysis,0.8222222222222222,0.832514619883041,0.8222222222222222,0.8178649237472767,1.0,1.0,0.9396484041645333,0.0020810000000004436
SVC_linear,0.8,0.8001068376068377,0.8,0.7995221027479091,1.0,1.0,0.9336132445809865,0.01812600000000053
SVC_gamma_2,0.3333333333333333,0.4323232323232323,0.3333333333333333,0.2977110582639715,0.0,1.0,0.3261416418007074,0.011446999999998653
GaussianProcessClassifier,0.8444444444444444,0.844871794871795,0.8444444444444444,0.8440727465817073,1.0,1.0,0.9471650452295614,15.859963999999998
MLPClassifier,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8847481021394065,1.0,1.0,0.939621095750128,0.8915429999999986
CalibratedClassifierCV_iso,0.8444444444444444,0.865432098765432,0.8444444444444444,0.8386473429951691,1.0,1.0,0.9464379586960233,0.008086999999999733
CalibratedClassifierCV_sig,0.8,0.8001068376068377,0.8,0.7995221027479091,1.0,1.0,0.9351220344768731,0.018550999999998652
